CustomerID,Recency,Frequency,Monetary,Total_Quantity,Unique_Products,Avg_Order_Value,Cluster,PCA1,PCA2,Segment
12346,326,1,77183.6,74215,1,77183.6,1,4.856693471954293,7.960935511389595,Loyal Customers
12347,2,7,4310.0,2458,103,615.7142857142857,1,2.961726687730824,-0.25785619883223526,Loyal Customers
12348,75,4,1797.24,2341,22,449.31,1,1.0454311289887344,0.9195106534815473,Loyal Customers
12349,19,1,1757.55,631,73,1757.55,1,1.1014668686918192,1.9795228400764506,Loyal Customers
12350,310,1,334.4,197,17,334.4,0,-1.5480931328018277,1.1152062931658782,VIP Customers
12352,36,8,2506.04,536,59,313.255,1,1.216162788302308,-0.21375018834821558,Loyal Customers
12353,204,1,89.0,20,4,89.0,0,-3.357070817469856,-0.7362049798852931,VIP Customers
12354,232,1,1079.4,530,58,1079.4,0,-0.008305120893105521,2.3362479837484584,VIP Customers
12355,214,1,459.4,240,13,459.4,0,-1.1511012855767597,1.3703733235195998,VIP Customers
12356,23,3,2811.43,1591,53,937.1433333333333,1,1.6599729369494038,1.284593515973667,Loyal Customers
12357,33,1,6207.67,2708,131,6207.67,1,2.7566054880225965,3.610346431343243,Loyal Customers
12358,2,2,1168.06,248,13,584.03,1,0.610506203958785,-0.014343110952719654,Loyal Customers
12359,58,4,6372.58,1622,214,1593.145,1,2.829316049109222,1.7313024874875913,Loyal Customers
12360,52,3,2662.06,1165,105,887.3533333333334,1,1.5403405043086924,1.34491691304308,Loyal Customers
12361,287,1,189.9,91,10,189.9,0,-2.28532775273952,0.38432087450453817,VIP Customers
12362,3,10,5226.23,2229,201,522.6229999999999,1,3.4909764812325474,-0.7096066733001904,Loyal Customers
12363,110,2,552.0,408,23,276.0,0,-0.64523140598657,0.48002235083139183,VIP Customers
12364,8,4,1313.1,1506,70,328.275,1,1.3557378054040832,-0.3729234182037129,Loyal Customers
12365,291,2,641.38,174,22,320.69,0,-1.0582202305131694,0.9046392005456302,VIP Customers
12367,4,1,168.9,173,11,168.9,0,-1.178916720289151,-1.1421212480069893,VIP Customers
12370,51,4,3545.69,2353,143,886.4225,1,2.209482831795642,1.245171048491985,Loyal Customers
12371,45,2,1887.96,591,63,943.98,1,0.8630370923368796,1.4848321865145766,Loyal Customers
12372,72,3,1298.04,794,34,432.68,1,0.4420021758691004,0.7872247521453299,Loyal Customers
12373,311,1,364.6,197,14,364.6,0,-1.49192782571223,1.2208479847368707,VIP Customers
12374,25,1,742.9300000000001,342,33,742.9300000000001,0,-0.045262499444821296,1.1369845501159315,VIP Customers
12375,11,2,457.5,178,14,228.75,0,-0.5915803208703606,-0.605039484772534,VIP Customers
12377,315,2,1628.12,944,72,814.06,0,0.48342621206087744,2.0450258947522064,VIP Customers
12378,130,1,4008.62,2529,219,4008.62,1,2.43360972203019,3.3789163576351053,Loyal Customers
12379,82,2,852.24,407,39,426.12,0,-0.15626739130713682,0.8222452122062214,VIP Customers
12380,22,4,2724.81,1127,77,681.2025,1,1.649740995863306,0.7358415449497459,Loyal Customers
12381,5,5,1845.31,808,70,369.062,1,1.53343845255447,-0.5221416982517799,Loyal Customers
12383,185,5,1850.56,1532,84,370.11199999999997,1,0.9959976107719082,0.7590428447672324,Loyal Customers
12384,29,2,585.27,126,26,292.635,0,-0.6812470085509809,-0.06638271627256548,VIP Customers
12386,338,2,401.9,354,10,200.95,0,-1.2751923640774103,0.5441740758123004,VIP Customers
12388,16,6,2780.66,1462,57,463.4433333333333,1,1.789436751655299,0.15396308777075815,Loyal Customers
12390,80,1,549.84,353,32,549.84,0,-0.5547434539745257,1.2154955031877772,VIP Customers
12391,22,1,460.89,300,92,460.89,0,-0.19371631328021768,0.3947631024179744,VIP Customers
12393,72,4,1582.6000000000001,816,47,395.65000000000003,1,0.6904442954066579,0.5811996740664698,Loyal Customers
